"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2013","65","PM2.5","PS 19","36-061-0128","AQS","7","32",".","65","25"
"01/02/2013","57","PM2.5","PS 19","36-061-0128","AQS","7","33",".","57","35"
"01/03/2013","64","PM2.5","PS 19","36-061-0128","AQS","10","32",".","64","38"
"01/04/2013","69","PM2.5","PS 19","36-061-0128","AQS","9","33","20","69","37"
"01/05/2013","68","PM2.5","PS 314","36-047-0052","AQS","11","33",".","68","42"
"01/06/2013","80","PM2.5","PS 314","36-047-0052","AQS","11","31",".","80","36"
"01/07/2013","95","PM2.5","PS 314","36-047-0052","AQS","16","32",".","95","55"
"01/08/2013","88","PM2.5","PS 314","36-047-0052","AQS","16","28",".","88","44"
"01/09/2013","108","PM2.5","PS 314","36-047-0052","AQS","22","31",".","108","84"
"01/10/2013","74","PM2.5","PS 314","36-047-0052","AQS","9","33","19","74","42"
"01/11/2013","60","PM2.5","MORRISANIA","36-005-0080","AQS","15","31",".","60","50"
"01/12/2013","77","PM2.5","PS 314","36-047-0052","AQS","15","32",".","77","42"
"01/13/2013","77","PM2.5","MORRISANIA","36-005-0080","AQS","14","26",".","77","40"
"01/14/2013","63","PM2.5","PS 314","36-047-0052","AQS","11","30",".","63","38"
"01/15/2013","66","PM2.5","CCNY","36-061-0135","AQS","7","26",".","66","29"
"01/16/2013","68","PM2.5","PS 19","36-061-0128","AQS","10","21","14","68","36"
"01/17/2013","64","PM2.5","PS 19","36-061-0128","AQS","10","35",".","64","28"
"01/18/2013","53","PM2.5","PS 19","36-061-0128","AQS","10","35",".","53","36"
"01/19/2013","50","PM2.5","MORRISANIA","36-005-0080","AQS","10","33",".","50","33"
"01/20/2013","55","PM2.5","PS 19","36-061-0128","AQS","8","36",".","55","32"
"01/21/2013","54","PM2.5","MORRISANIA","36-005-0080","AQS","9","31",".","54","39"
"01/22/2013","60","PM2.5","MORRISANIA","36-005-0080","AQS","8","34","22","60","23"
"01/23/2013","104","PM2.5","MORRISANIA","36-005-0080","AQS","10","31",".","104","36"
"01/24/2013","113","PM2.5","MORRISANIA","36-005-0080","AQS","10","34",".","113","48"
"01/25/2013","83","PM2.5","MORRISANIA","36-005-0080","AQS","11","34",".","83","49"
"01/26/2013","69","PM2.5","PS 19","36-061-0128","AQS","10","36",".","69","38"
"01/27/2013","82","PM2.5","PS 19","36-061-0128","AQS","9","35",".","82","45"
"01/28/2013","96","PM2.5","Rahway","34-039-2003","AQS","11","23","39","96","54"
"01/29/2013","95","PM2.5","Elizabeth Lab","34-039-0004","AQS","15","17",".","95","60"
"01/30/2013","87","PM2.5","Elizabeth Lab","34-039-0004","AQS","19","35",".","87","62"
"01/31/2013","86","PM2.5","Paterson","34-031-0005","AQS","13","34",".","86","22"
"02/01/2013","53","PM2.5","PS 19","36-061-0128","AQS","9","34",".","53","30"
"02/02/2013","53","PM2.5","IS 74","36-005-0112","AQS","9","29",".","53","36"
"02/03/2013","74","PM2.5","PS 19","36-061-0128","AQS","10","28","25","74","38"
"02/04/2013","57","PM2.5","PS 19","36-061-0128","AQS","10","36",".","57","40"
"02/05/2013","98","PM2.5","Elizabeth Lab","34-039-0004","AQS","14","31",".","98","47"
"02/06/2013","80","PM2.5","DIVISION STREET","36-061-0134","AQS","11","40",".","80","38"
"02/07/2013","50","NO2","Elizabeth Lab","34-039-0004","AQS","13","34",".","46","50"
"02/08/2013","52","PM2.5","PS 19","36-061-0128","AQS","9","35",".","52","49"
"02/09/2013","47","PM2.5","PS 19","36-061-0128","AQS","6","40","6","47","24"
"02/10/2013","61","PM2.5","Jersey City Firehouse","34-017-1003","AQS","9","38",".","61","60"
"02/11/2013","82","PM2.5","Jersey City Firehouse","34-017-1003","AQS","25","27",".","82","81"
"02/12/2013","61","PM2.5","PS 19","36-061-0128","AQS","19","31",".","61","34"
"02/13/2013","65","PM2.5","PS 19","36-061-0128","AQS","13","38",".","65","50"
"02/14/2013","66","PM2.5","Toms River","34-029-2002","AQS","14","38",".","66","48"
"02/15/2013","88","PM2.5","Union City","34-017-2002","AQS","17","36","36","88","56"
"02/16/2013","80","PM2.5","DIVISION STREET","36-061-0134","AQS","14","35",".","80","22"
"02/17/2013","38","PM2.5","PS 19","36-061-0128","AQS","7","37",".","38","17"
"02/18/2013","45","PM2.5","PS 19","36-061-0128","AQS","8","39",".","45","44"
"02/19/2013","55","NO2","Newark Firehouse","34-013-0003","AQS","14","38",".","52","55"
"02/20/2013","51","PM2.5","PS 19","36-061-0128","AQS","9","32",".","51","25"
"02/21/2013","47","PM2.5","PS 19","36-061-0128","AQS","8","33","15","47","22"
"02/22/2013","57","PM2.5","PS 19","36-061-0128","AQS","15","35",".","57","42"
"02/23/2013","42","PM2.5","PS 19","36-061-0128","AQS","13","35",".","42","40"
"02/24/2013","51","PM2.5","PS 19","36-061-0128","AQS","7","39",".","51","26"
"02/25/2013","58","PM2.5","PS 19","36-061-0128","AQS","10","37",".","58","42"
"02/26/2013","56","PM2.5","Elizabeth Lab","34-039-0004","AQS","16","39",".","56","54"
"02/27/2013","66","PM2.5","Rahway","34-039-2003","AQS","13","39","8","66","48"
"02/28/2013","52","PM2.5","EISENHOWER PARK","36-059-0005","AQS","13","29",".","52","34"
"03/01/2013","40","PM2.5","PS 19","36-061-0128","AQS","8","34",".","40","32"
"03/02/2013","33","PM2.5","PS 19","36-061-0128","AQS","7","33",".","33","19"
"03/03/2013","34","PM2.5","PS 19","36-061-0128","AQS","7","34",".","34","15"
"03/04/2013","42","PM2.5","PS 19","36-061-0128","AQS","7","35",".","42","20"
"03/05/2013","42","NO2","Newark Firehouse","34-013-0003","AQS","11","36","13","38","42"
"03/06/2013","41","Ozone","Chester","34-027-3001","AQS","11","41",".","25","33"
"03/07/2013","40","Ozone","Flemington","34-019-0001","AQS","7","40",".","23","25"
"03/08/2013","44","Ozone","Chester","34-027-3001","AQS","10","44",".","35","34"
"03/09/2013","52","NO2","Newark Firehouse","34-013-0003","AQS","19","47",".","39","52"
"03/10/2013","55","PM2.5","MORRISANIA","36-005-0080","AQS","20","44",".","55","48"
"03/11/2013","54","PM2.5","Paterson","34-031-0005","AQS","15","40","20","54","47"
"03/12/2013","47","NO2","Newark Firehouse","34-013-0003","AQS","11","40",".","43","47"
"03/13/2013","40","Ozone","MILLBROOK","36-027-0007","AQS","8","40",".","30","39"
"03/14/2013","44","Ozone","Chester","34-027-3001","AQS","8","44",".","25","25"
"03/15/2013","44","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","40",".","44","37"
"03/16/2013","43","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","39",".","43","39"
"03/17/2013","42","Ozone","MILLBROOK","36-027-0007","AQS","8","42","8","35","25"
"03/18/2013","52","NO2","Elizabeth Lab","34-039-0004","AQS","13","41",".","35","52"
"03/19/2013","47","NO2","Elizabeth Lab","34-039-0004","AQS","9","40",".","27","47"
"03/20/2013","52","PM2.5","DIVISION STREET","36-061-0134","AQS","11","44",".","52","36"
"03/21/2013","45","Ozone","MILLBROOK","36-027-0007","AQS","10","45",".","37","26"
"03/22/2013","39","Ozone","RIVERHEAD","36-103-0004","AQS","11","39",".","36","36"
"03/23/2013","39","Ozone","Flemington","34-019-0001","AQS","11","39","11","28","28"
"03/24/2013","42","Ozone","Chester","34-027-3001","AQS","11","42",".","24","42"
"03/25/2013","41","NO2","IS 52","36-005-0110","AQS","13","40",".","25","41"
"03/26/2013","45","NO2","QUEENS COLLEGE 2","36-081-0124","AQS","13","44",".","35","45"
"03/27/2013","45","Ozone","MILLBROOK","36-027-0007","AQS","9","45",".","28","37"
"03/28/2013","39","Ozone","Chester","34-027-3001","AQS","9","39",".","30","35"
"03/29/2013","42","Ozone","Chester","34-027-3001","AQS","10","42","14","38","42"
"03/30/2013","60","NO2","PFIZER LAB SITE","36-005-0133","AQS","14","48",".","35","60"
"03/31/2013","81","PM2.5","Elizabeth Lab","34-039-0004","AQS","14","61",".","81","58"
"04/01/2013","51","PM2.5","DIVISION STREET","36-061-0134","AQS","14","46",".","51","36"
"04/02/2013","46","Ozone","Chester","34-027-3001","AQS","8","46",".","25","39"
"04/03/2013","48","Ozone","Chester","34-027-3001","AQS","8","48",".","29","34"
"04/04/2013","48","Ozone","RIVERHEAD","36-103-0004","AQS","13","48","20","47","44"
"04/05/2013","58","Ozone","Chester","34-027-3001","AQS","10","58",".","40","53"
"04/06/2013","46","Ozone","Rutgers University","34-023-0011","AQS","11","46",".","33","28"
"04/07/2013","61","Ozone","Chester","34-027-3001","AQS","10","61",".","40","42"
"04/08/2013","64","PM2.5","IS 74","36-005-0112","AQS","11","61",".","64","61"
"04/09/2013","69","NO2","IS 52","36-005-0110","AQS","11","54",".","57","69"
"04/10/2013","64","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","54","40","64","57"
"04/11/2013","48","NO2","IS 52","36-005-0110","AQS","10","41",".","40","48"
"04/12/2013","43","Ozone","Monmouth University","34-025-0005","AQS","8","43",".","30","36"
"04/13/2013","48","NO2","Newark Firehouse","34-013-0003","AQS","14","42",".","35","48"
"04/14/2013","47","Ozone","Flemington","34-019-0001","AQS","13","47",".","36","42"
"04/15/2013","41","Ozone","MILLBROOK","36-027-0007","AQS","11","41",".","33","40"
"04/16/2013","48","PM2.5","PS 19","36-061-0128","AQS","10","48","15","48","43"
"04/17/2013","63","NO2","Newark Firehouse","34-013-0003","AQS","10","45",".","37","63"
"04/18/2013","57","NO2","Newark Firehouse","34-013-0003","AQS","10","40",".","43","57"
"04/19/2013","42","NO2","Newark Firehouse","34-013-0003","AQS","11","37",".","36","42"
"04/20/2013","43","Ozone","Chester","34-027-3001","AQS","9","43",".","25","20"
"04/21/2013","48","Ozone","Chester","34-027-3001","AQS","8","48",".","31","42"
"04/22/2013","53","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","8","45","16","53","42"
"04/23/2013","39","Ozone","MILLBROOK","36-027-0007","AQS","7","39",".","35","27"
"04/24/2013","50","PM2.5","MORRISANIA","36-005-0080","AQS","9","50",".","50","42"
"04/25/2013","58","Ozone","Chester","34-027-3001","AQS","9","58",".","30","46"
"04/26/2013","67","Ozone","Rutgers University","34-023-0011","AQS","9","67",".","43","57"
"04/27/2013","71","Ozone","Chester","34-027-3001","AQS","9","71",".","32","34"
"04/28/2013","105","Ozone","Chester","34-027-3001","AQS","8","105","28","68","48"
"04/29/2013","56","NO2","Elizabeth Lab","34-039-0004","AQS","10","54",".","43","56"
"04/30/2013","74","Ozone","MILLBROOK","36-027-0007","AQS","18","74",".","42","60"
"05/01/2013","68","NO2","Elizabeth Lab","34-039-0004","AQS","10","61",".","39","68"
"05/02/2013","58","Ozone","MILLBROOK","36-027-0007","AQS","10","58",".","39","54"
"05/03/2013","49","Ozone","Rockland County","36-087-0005","AQS","10","49",".","29","42"
"05/04/2013","45","Ozone","Monmouth University","34-025-0005","AQS","9","45","30","44","38"
"05/05/2013","54","Ozone","Chester","34-027-3001","AQS","8","54",".","39","29"
"05/06/2013","48","PM2.5","Newark Firehouse","34-013-0003","AQS","11","42",".","48","45"
"05/07/2013","45","NO2","Elizabeth Lab","34-039-0004","AQS","11","38",".","43","45"
"05/08/2013","45","NO2","Elizabeth Lab","34-039-0004","AQS","11","44",".","38","45"
"05/09/2013","47","PM2.5","Newark Firehouse","34-013-0003","AQS","14","44",".","47","47"
"05/10/2013","61","Ozone","Colliers Mills","34-029-0006","AQS","13","61","25","55","50"
"05/11/2013","54","PM2.5","MORRISANIA","36-005-0080","AQS","13","44",".","54","39"
"05/12/2013","46","Ozone","RIVERHEAD","36-103-0004","AQS","10","46",".","31","25"
"05/13/2013","43","PM2.5","JHS 126","36-047-0122","AQS","5","42",".","43","26"
"05/14/2013","49","Ozone","Chester","34-027-3001","AQS","7","49",".","24","45"
"05/15/2013","74","Ozone","Chester","34-027-3001","AQS","11","74",".","59","51"
"05/16/2013","93","Ozone","Rutgers University","34-023-0011","AQS","10","93","49","70","63"
"05/17/2013","52","NO2","Elizabeth Lab","34-039-0004","AQS","8","45",".","30","52"
"05/18/2013","48","NO2","Elizabeth Lab","34-039-0004","AQS","11","45",".","41","48"
"05/19/2013","38","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","8","38",".","37","30"
"05/20/2013","59","PM2.5","Jersey City Firehouse","34-017-1003","AQS","11","42",".","59","45"
"05/21/2013","87","Ozone","Leonia","34-003-0006","AQS","11","87",".","62","48"
"05/22/2013","78","PM2.5","Newark Firehouse","34-013-0003","AQS","11","74","40","78","50"
"05/23/2013","50","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","34",".","50","28"
"05/24/2013","35","NO2","Elizabeth Lab","34-039-0004","AQS","6","31",".","16","35"
"05/25/2013","31","Ozone","Leonia","34-003-0006","AQS","5","31",".","13","9"
"05/26/2013","38","Ozone","Flemington","34-019-0001","AQS","5","38",".","25","31"
"05/27/2013","50","Ozone","Rutgers University","34-023-0011","AQS","7","50",".","35","40"
"05/28/2013","75","PM2.5","Newark Firehouse","34-013-0003","AQS","10","47","30","75","56"
"05/29/2013","101","Ozone","Colliers Mills","34-029-0006","AQS","11","101",".","78","71"
"05/30/2013","143","Ozone","RIVERHEAD","36-103-0004","AQS","10","143",".","71","57"
"05/31/2013","126","Ozone","Newark Firehouse","34-013-0003","AQS","13","126",".","77","57"
"06/01/2013","101","Ozone","Leonia","34-003-0006","AQS","11","101",".","59","26"
"06/02/2013","50","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","50",".","50","32"
"06/03/2013","60","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","41","17","60","44"
"06/04/2013","47","Ozone","Flemington","34-019-0001","AQS","7","47",".","28","25"
"06/05/2013","50","Ozone","Flemington","34-019-0001","AQS","7","50",".","29","37"
"06/06/2013","51","PM2.5","Rahway","34-039-2003","AQS","8","51",".","51","42"
"06/07/2013","34","Ozone","RIVERHEAD","36-103-0004","AQS","9","34",".","19","32"
"06/08/2013","40","Ozone","RIVERHEAD","36-103-0004","AQS","8","40",".","28","29"
"06/09/2013","67","Ozone","Chester","34-027-3001","AQS","11","67","20","58","60"
"06/10/2013","67","Ozone","RIVERHEAD","36-103-0004","AQS","14","67",".","57","55"
"06/11/2013","54","Ozone","Monmouth University","34-025-0005","AQS","9","54",".","38","28"
"06/12/2013","44","Ozone","Monmouth University","34-025-0005","AQS","7","44",".","32","37"
"06/13/2013","58","Ozone","Monmouth University","34-025-0005","AQS","10","58",".","40","44"
"06/14/2013","42","Ozone","RIVERHEAD","36-103-0004","AQS","10","42",".","33","37"
"06/15/2013","59","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","46","22","59","46"
"06/16/2013","77","Ozone","Leonia","34-003-0006","AQS","10","77",".","59","37"
"06/17/2013","74","Ozone","Monmouth University","34-025-0005","AQS","10","74",".","60","39"
"06/18/2013","62","PM2.5","Jersey City Firehouse","34-017-1003","AQS","13","54",".","62","58"
"06/19/2013","48","Ozone","Monmouth University","34-025-0005","AQS","8","48",".","37","29"
"06/20/2013","87","Ozone","Rutgers University","34-023-0011","AQS","10","87",".","51","46"
"06/21/2013","119","Ozone","Flemington","34-019-0001","AQS","13","119","23","56","36"
"06/22/2013","100","Ozone","Rutgers University","34-023-0011","AQS","11","100",".","52","33"
"06/23/2013","63","PM2.5","Jersey City Firehouse","34-017-1003","AQS","10","44",".","63","22"
"06/24/2013","126","Ozone","RIVERHEAD","36-103-0004","AQS","11","126",".","91","34"
"06/25/2013","151","Ozone","RIVERHEAD","36-103-0004","AQS","11","151",".","76","36"
"06/26/2013","93","Ozone","RIVERHEAD","36-103-0004","AQS","10","93",".","57","42"
"06/27/2013","97","Ozone","Rockland County","36-087-0005","AQS","11","97","25","70","44"
"06/28/2013","54","Ozone","Leonia","34-003-0006","AQS","11","54",".","51","39"
"06/29/2013","97","Ozone","Rutgers University","34-023-0011","AQS","11","97",".","60","27"
"06/30/2013","66","PM2.5","Jersey City Firehouse","34-017-1003","AQS","11","42",".","66","27"
"07/01/2013","51","PM2.5","Jersey City Firehouse","34-017-1003","AQS","10","29",".","51","35"
"07/02/2013","51","PM2.5","Toms River","34-029-2002","AQS","10","36",".","51","28"
"07/03/2013","48","PM2.5","MORRISANIA","36-005-0080","AQS","13","31",".","48","27"
"07/04/2013","50","PM2.5","Flemington","34-019-0001","AQS","11","37",".","50","18"
